"Strain","Locus Tag","Accession","Product","Number of Amino Acids","Subcellular Localization","Confidence","Localization Group (Primary/Secondary)"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_19630","YP_789710.1","GTP cyclohydrolase I","187","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_19640","YP_789711.1","short chain dehydrogenase","235","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_19650","YP_789712.1","hypothetical protein","186","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_19660","YP_789713.1","flavodoxin","151","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_19670","YP_789714.1","LysR family transcriptional regulator","298","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_19680","YP_789715.1","hypothetical protein","130","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_19690","YP_789716.1","hypothetical protein","229","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_19700","YP_789717.1","aldolase","260","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_19710","YP_789718.1","alpha/beta hydrolase","299","Unknown (This protein may have multiple localization sites)","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_19720","YP_789719.1","hypothetical protein","98","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_19730","YP_789720.1","oxidoreductase","304","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_19740","YP_789721.1","enoyl-CoA hydratase","257","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_19750","YP_789722.1","hypothetical protein","115","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_19770","YP_789723.1","hypothetical protein","469","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_19800","YP_789724.1","AraC family transcriptional regulator","248","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_19810","YP_789725.1","hypothetical protein","586","Outer Membrane","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_19830","YP_789726.1","hypothetical protein","457","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_19850","YP_789727.1","transcriptional regulator","828","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_19860","YP_789728.1","hypothetical protein","271","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_19870","YP_789729.1","leucine dehydrogenase","342","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_19900","YP_789730.1","pyruvate dehydrogenase E1 component subunit alpha","366","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_19910","YP_789731.1","pyruvate dehydrogenase E1 component, beta chain","334","Unknown (This protein may have multiple localization sites)","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_19920","YP_789732.1","branched-chain alpha-keto acid dehydrogenase subunit E2","371","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_19930","YP_789733.1","hypothetical protein","153","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_19940","YP_789734.1","hypothetical protein","195","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_19950","YP_789735.1","hypothetical protein","89","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_19960","YP_789736.1","hypothetical protein","90","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_19970","YP_789737.1","hypothetical protein","73","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_19990","YP_789738.1","RNA polymerase ECF-subfamily sigma-70 factor","172","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_20000","YP_789739.1","transmembrane sensor","329","Periplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_20010","YP_789740.1","heme uptake outer membrane receptor HasR","892","Outer Membrane","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_20020","YP_789741.1","heme acquisition protein HasAp","206","Extracellular","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_20030","YP_789742.1","transport protein HasD","597","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_20040","YP_789743.1","metalloprotease secretion protein","444","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_20050","YP_789744.1","outer membrane protein","452","Outer Membrane","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_20060","YP_789745.1","hypothetical protein","96","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_20070","YP_789746.1","hypothetical protein","162","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_20080","YP_789747.1","hypothetical protein","324","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_20100","YP_789748.1","hypothetical protein","391","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_20110","YP_789749.1","hypothetical protein","378","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_20120","YP_789750.1","hypothetical protein","114","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_20130","YP_789751.1","LysR family transcriptional regulator","309","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_20140","YP_789752.1","ferredoxin--NADP+ reductase","259","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_20150","YP_789753.1","NosL protein","179","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_20170","YP_789754.1","NosY protein","276","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_20180","YP_789755.1","NosF protein","305","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_20190","YP_789756.1","copper ABC transporter periplasmic substrate-binding protein","429","Periplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_20200","YP_789757.1","nitrous-oxide reductase","637","Periplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_20230","YP_789758.1","regulatory protein NosR","716","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_20240","YP_789759.1","ring-cleaving dioxygenase","138","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_20250","YP_789760.1","hypothetical protein","101","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_20260","YP_789761.1","hypothetical protein","232","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_20270","YP_789762.1","beta-ketoacyl reductase","257","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_20280","YP_789763.1","hypothetical protein","122","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_20290","YP_789764.1","DNA binding-protein","109","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_20300","YP_789765.1","ABC phosphonate transporter ATP-binding protein","279","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_20320","YP_789766.1","phosphonate ABC transporter substrate-binding protein","335","Periplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_20330","YP_789767.1","phosphonate ABC transporter permease","265","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_20350","YP_789768.1","transcriptional regulator","241","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_20360","YP_789769.1","phosphonate metabolism protein PhnG","153","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_20370","YP_789770.1","carbon-phosphorus lyase complex subunit","210","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_20380","YP_789771.1","hypothetical protein","367","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_20390","YP_789772.1","hypothetical protein","295","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_20400","YP_789773.1","phosphonate C-P lyase system protein PhnK","272","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_20420","YP_789774.1","phosphonate ABC transporter ATPase","239","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_20430","YP_789775.1","phosphonate metabolism protein","388","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_20440","YP_789776.1","phosphonate transport ATP-binding protein","186","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_20450","YP_789777.1","carbon-phosphorus lyase complex accessory protein","257","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_20460","YP_789778.1","hypothetical protein","62","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_20470","YP_789779.1","hypothetical protein","49","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_20480","YP_789780.1","hypothetical protein","93","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_20491","YP_789781.1","acetyltransferase","173","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_20510","YP_789782.1","hypothetical protein","325","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_20520","YP_789783.1","hypothetical protein","904","Unknown (This protein may have multiple localization sites)","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_20530","YP_789784.1","hypothetical protein","159","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_20550","YP_789785.1","hypothetical protein","113","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_20560","YP_789786.1","acylamide amidohydrolase","347","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_20570","YP_789787.1","chaperone","372","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_20580","YP_789788.1","aliphatic amidase expression-regulating protein","386","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_20590","YP_789789.1","aliphatic amidase regulator","197","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_20600","YP_789790.1","hypothetical protein","225","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_20610","YP_789791.1","fucose-binding lectin PA-IIL","116","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_20620","YP_789792.1","HlyD family secretion protein","353","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_20630","YP_789793.1","hypothetical protein","337","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_20640","YP_789794.1","hypothetical protein","293","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_20650","YP_789795.1","D-serine dehydratase","449","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_20670","YP_789796.1","glutamine synthetase","414","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_20680","YP_789797.1","MFS transporter","435","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_20690","YP_789798.1","hypothetical protein","204","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_20700","YP_789799.1","glycosyltransferase","264","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_20720","YP_789800.1","hypothetical protein","157","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_20730","YP_789801.1","hypothetical protein","108","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_20740","YP_789802.1","flagellar basal body P-ring biosynthesis protein FlgA","233","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_20750","YP_789803.1","chemotaxis protein","311","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_20760","YP_789804.1","chemotaxis protein methyltransferase","275","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_20770","YP_789805.1","hypothetical protein","102","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_20780","YP_789806.1","two-component response regulator","572","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_20800","YP_789807.1","histidine phosphotransfer domain-containing protein","117","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_20810","YP_789808.1","ATP-dependent DNA helicase RecQ","713","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_20820","YP_789809.1","two-component response regulator","390","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_20840","YP_789810.1","hypothetical protein","339","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_20850","YP_789811.1","MarR family transcriptional regulator","145","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_20860","YP_789812.1","Tfp pilus assembly protein FimV","682","Unknown (This protein may have multiple localization sites)","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_20870","YP_789813.1","hypothetical protein","729","Outer Membrane","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_20880","YP_789814.1","hypothetical protein","97","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_20890","YP_789815.1","ADP-L-glycero-D-manno-heptose-6-epimerase","333","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_20900","YP_789816.1","MFS transporter","389","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_20920","YP_789817.1","hypothetical protein","251","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_20940","YP_789818.1","acyl carrier protein","80","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_20950","YP_789819.1","3-oxoacyl-ACP synthase","331","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_20960","YP_789820.1","isomerase","142","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_20970","YP_789821.1","cytochrome P450","419","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_20980","YP_789822.1","short chain dehydrogenas","305","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_21000","YP_789823.1","hypothetical protein","443","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_21010","YP_789824.1","FAD-dependent monooxygenase","389","Unknown (This protein may have multiple localization sites)","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_21020","YP_789825.1","non-ribosomal peptide synthetase","2353","Unknown (This protein may have multiple localization sites)","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_21030","YP_789826.1","ATP-dependent Clp protease proteolytic subunit","202","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_21040","YP_789827.1","hypothetical protein","296","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_21050","YP_789828.1","short chain dehydrogenase","593","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_21060","YP_789829.1","hypothetical protein","292","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_21070","YP_789830.1","MerR family transcriptional regulator","233","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_21080","YP_789831.1","LysR family transcriptional activator","305","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_21090","YP_789832.1","hypothetical protein","152","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_21110","YP_789833.1","non-hemolytic phospholipase C","693","Extracellular","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_21120","YP_789834.1","hypothetical protein","167","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_21130","YP_789835.1","outer membrane lipoprotein","243","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_21140","YP_789836.1","ABC transporter permease","257","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_21150","YP_789837.1","ABC transporter permease","278","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_21160","YP_789838.1","ABC transporter ATP-binding protein","268","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_21175","YP_789839.1","hypothetical protein","336","Periplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_21180","YP_789840.1","3-hydroxyisobutyrate dehydrogenase","297","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_21190","YP_789841.1","hypothetical protein","786","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_21210","YP_789842.1","hypothetical protein","552","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_21220","YP_789843.1","hypothetical protein","152","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_21230","YP_789844.1","ATP-dependent helicase HepA","951","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_21240","YP_789845.1","hypothetical protein","103","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_21250","YP_789846.1","hypothetical protein","201","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_21260","YP_789847.1","hypothetical protein","38","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_21280","YP_789848.1","hypothetical protein","665","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_21290","YP_789849.1","hypothetical protein","286","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_21300","YP_789850.1","MFS transporte","392","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_21310","YP_789851.1","hypothetical protein","157","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_21320","YP_789852.1","hypothetical protein","317","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_21340","YP_789853.1","long-chain-fatty-acid--CoA ligase","563","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_21370","YP_789854.1","long-chain-fatty-acid--CoA ligase","563","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_21380","YP_789855.1","hypothetical protein","101","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_21400","YP_789856.1","ATP-dependent helicase","1327","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_21410","YP_789857.1","alkaline phosphatase","477","Periplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_21440","YP_789858.1","HIT family protein","146","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_21450","YP_789859.1","hypothetical protein","689","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_21460","YP_789860.1","hypothetical protein","272","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_21470","YP_789861.1","hypothetical protein","193","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_21480","YP_789862.1","type VI secretion lipase immunity protein, Tli1","185","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_21490","YP_789863.1","type VI secretion lipase effector Tle1","883","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_21510","YP_789864.1","hypothetical protein","138","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_21520","YP_789865.1","hypothetical protein","168","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_21530","YP_789866.1","ankyrin domain-containing protein","172","Periplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_21540","YP_789867.1","3-oxoacyl-ACP synthase","351","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_21550","YP_789868.1","RNA polymerase ECF-subfamily sigma-70 factor","204","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_21560","YP_789869.1","hypothetical protein","80","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_21570","YP_789870.1","hypothetical protein","105","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_21580","YP_789871.1","hypothetical protein","285","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_21590","YP_789872.1","hypothetical protein","245","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_21600","YP_789873.1","hypothetical protein","197","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_21610","YP_789874.1","pyrophosphate-specific outer membrane porin OprO precursor","439","Outer Membrane","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_21620","YP_789875.1","phosphate-specific outer membrane porin OprP precursor","441","Outer Membrane","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_21630","YP_789876.1","hypothetical protein","100","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_21640","YP_789877.1","short chain dehydrogenase","271","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_21650","YP_789878.1","hypothetical protein","141","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_21660","YP_789879.1","hypothetical protein","110","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_21670","YP_789880.1","hypothetical protein","96","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_21680","YP_789881.1","hypothetical protein","200","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_21690","YP_789882.1","ATP-dependent DNA helicase","1449","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_21700","YP_789883.1","two-component sensor","1160","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_21710","YP_789884.1","hypothetical protein","196","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_21720","YP_789885.1","AraC family transcriptional regulator","285","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_21730","YP_789886.1","TonB-dependent receptor","722","Outer Membrane","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_21750","YP_789887.1","hypothetical protein","625","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_21760","YP_789888.1","cold acclimation protein B","70","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_21770","YP_789889.1","DMT family permease","105","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_21780","YP_789890.1","transporter","312","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_21790","YP_789891.1","recombination associated protein","307","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_21820","YP_789892.1","peptidyl-prolyl cis-trans isomerase, FkbP-type","254","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_21830","YP_789893.1","hypothetical protein","144","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_21840","YP_789894.1","hypothetical protein","249","Unknown (This protein may have multiple localization sites)","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_21850","YP_789895.1","transcriptional regulator","104","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_21860","YP_789896.1","hypothetical protein","160","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_21870","YP_789897.1","EAL domain/GGDEF domain-containing protein","602","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_21880","YP_789898.1","periplasmic tail-specific protease","699","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_21890","YP_789899.1","oxidoreductase","321","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_21900","YP_789900.1","HAD-superfamily hydrolase","193","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_21910","YP_789901.1","ABC transporter ATP-binding protein","332","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_21920","YP_789902.1","ABC transporter permease","266","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa UCBPP-PA14","PA14_21930","YP_789903.1","ABC transporter permease","280","Cytoplasmic Membrane","Class 3","Primary"
