"Analysis Type","NCBI BioProject ID (Strain 1)","Strain 1","GI (Strain 1)","Locus Tag (Strain 1)","NCBI RefSeq Accession (Strain 1)","Description (Strain 1)","NCBI BioProject ID (Strain 2)","Strain 2","GI (Strain 2)","Locus Tag (Strain 2)","NCBI RefSeq Accession (Strain 2)","Description (Strain 2)","Inparalogs","Strain 1 Inparalogs (Locus Tag/Name)","Strain 2 Inparalogs (Locus Tag/Name)","Ortholuge Class"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","90111550","b3162","NP_417631.2","ATP-dependent RNA helicase","57945","Pseudomonas aeruginosa PAO1","15598036","PA2840","NP_251530.1","ATP-dependent RNA helicase","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","145698289","b2276","NP_416779.2","NADH:ubiquinone oxidoreductase, membrane subunit N","57945","Pseudomonas aeruginosa PAO1","15597845","PA2649","NP_251339.1","NADH dehydrogenase subunit N","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128656","b0680","NP_415206.1","glutamyl-tRNA synthetase","57945","Pseudomonas aeruginosa PAO1","15596991","PA1794","NP_250485.1","glutaminyl-tRNA synthetase","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131994","b4172","NP_418593.1","HF-I, host factor for RNA phage Q beta replication","57945","Pseudomonas aeruginosa PAO1","15600137","PA4944","NP_253631.1","RNA-binding protein Hfq","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131882","b4056","NP_418480.1","thiamin phosphate synthase","57945","Pseudomonas aeruginosa PAO1","15600479","PA5286","NP_253973.1","hypothetical protein","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131934","b4108","NP_418532.1","conserved protein","57945","Pseudomonas aeruginosa PAO1","15595326","PA0128","NP_248818.1","hypothetical protein","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16129934","b1993","NP_416497.1","bifunctional cobinamide kinase/ cobinamide phosphate guanylyltransferase","57945","Pseudomonas aeruginosa PAO1","15596475","PA1278","NP_249969.1","adenosylcobinamide kinase/adenosylcobinamide-phosphate guanylyltransferase","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128053","b0059","NP_414601.1","RNA polymerase-associated helicase protein (ATPase and RNA polymerase recycling factor)","57945","Pseudomonas aeruginosa PAO1","15598504","PA3308","NP_251998.1","ATP-dependent helicase HepA","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128921","b0954","NP_415474.1","beta-hydroxydecanoyl thioester dehydrase","57945","Pseudomonas aeruginosa PAO1","15596807","PA1610","NP_250301.1","3-hydroxydecanoyl-(acyl carrier protein) dehydratase","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131321","b3449","NP_417906.1","glycerophosphodiester phosphodiesterase, cytosolic","57945","Pseudomonas aeruginosa PAO1","15598186","PA2990","NP_251680.1","phosphodiesterase","","","","Non-SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131782","b3944","NP_418379.1","conserved protein","57945","Pseudomonas aeruginosa PAO1","15596770","PA1573","NP_250264.1","hypothetical protein","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16129564","b1606","NP_416123.1","dihydromonapterin reductase, NADPH-dependent; dihydrofolate reductase isozyme","57945","Pseudomonas aeruginosa PAO1","15598633","PA3437","NP_252127.1","short-chain dehydrogenase","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","226524714","b1449","NP_415966.6","predicted NADP-dependent, Zn-dependent oxidoreductase","57945","Pseudomonas aeruginosa PAO1","15597393","PA2197","NP_250887.1","hypothetical protein","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16129483","b1524","NP_416041.1","glutaminase","57945","Pseudomonas aeruginosa PAO1","15596835","PA1638","NP_250329.1","glutaminase","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","94541138","b4566","YP_588477.1","conserved protein","57945","Pseudomonas aeruginosa PAO1","15595909","PA0712","NP_249403.1","hypothetical protein","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16130239","b2304","NP_416807.1","conserved protein with NAD(P)-binding Rossmann-fold domain","57945","Pseudomonas aeruginosa PAO1","15599851","PA4656","NP_253345.1","hypothetical protein","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","90111745","b4378","YP_026291.2","predicted DNase","57945","Pseudomonas aeruginosa PAO1","15598760","PA3564","NP_252254.1","hypothetical protein","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16129694","b1740","NP_416254.1","NAD synthetase, NH3/glutamine-dependent","57945","Pseudomonas aeruginosa PAO1","15600113","PA4920","NP_253607.1","NAD synthetase","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131334","b3462","NP_417919.1","predicted transporter subunit: membrane component of ABC superfamily","57945","Pseudomonas aeruginosa PAO1","15595572","PA0375","NP_249066.1","cell division protein FtsX","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128066","b0072","NP_414614.1","3-isopropylmalate dehydratase large subunit","57945","Pseudomonas aeruginosa PAO1","15598317","PA3121","NP_251811.1","isopropylmalate isomerase large subunit","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","145698236","b0891","NP_415411.2","chaperone for lipoproteins","57945","Pseudomonas aeruginosa PAO1","15597810","PA2614","NP_251304.1","outer-membrane lipoprotein carrier protein","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131701","b3860","NP_418297.1","periplasmic protein disulfide isomerase I","57945","Pseudomonas aeruginosa PAO1","15600682","PA5489","NP_254176.1","thiol:disulfide interchange protein DsbA","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16130701","b2794","NP_417274.1","7-cyano-7-deazaguanine reductase (NADPH-dependent)","57945","Pseudomonas aeruginosa PAO1","15598002","PA2806","NP_251496.1","7-cyano-7-deazaguanine reductase","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131583","b3715","NP_418171.1","phosphoenolpyruvate and 6-phosphogluconate phosphatase","57945","Pseudomonas aeruginosa PAO1","15595759","PA0562","NP_249253.1","hydrolase","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131868","b4042","NP_418466.1","diacylglycerol kinase","57945","Pseudomonas aeruginosa PAO1","15598799","PA3603","NP_252293.1","diacylglycerol kinase","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128188","b0195","NP_414737.1","conserved protein, UPF0066 family","57945","Pseudomonas aeruginosa PAO1","15598584","PA3388","NP_252078.1","hypothetical protein","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128121","b0128","NP_414670.1","predicted transporter subunit: membrane component of ABC superfamily","57945","Pseudomonas aeruginosa PAO1","15598007","PA2811","NP_251501.1","ABC transporter permease","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128457","b0473","NP_415006.1","molecular chaperone HSP90 family","57945","Pseudomonas aeruginosa PAO1","15596793","PA1596","NP_250287.1","heat shock protein 90","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16129072","b1109","NP_415627.1","respiratory NADH dehydrogenase 2/cupric reductase","57945","Pseudomonas aeruginosa PAO1","15599734","PA4538","NP_253228.1","NADH dehydrogenase","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16130683","b2776","NP_417256.1","predicted kinase","57945","Pseudomonas aeruginosa PAO1","15598220","PA3024","NP_251714.1","carbohydrate kinase","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16129834","b1882","NP_416396.1","chemotaxis regulator transmitting signal to flagellar motor component","57945","Pseudomonas aeruginosa PAO1","15596653","PA1456","NP_250147.1","chemotaxis protein CheY","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16130607","b2700","NP_417180.1","conserved protein","57945","Pseudomonas aeruginosa PAO1","15598814","PA3618","NP_252308.1","hypothetical protein","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16130720","b2813","NP_417293.1","membrane-bound lytic murein transglycosylase A","57945","Pseudomonas aeruginosa PAO1","15596419","PA1222","NP_249913.1","membrane-bound lytic murein transglycolase A","","","","Borderline-SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128578","b0595","NP_415127.1","isochorismatase","57945","Pseudomonas aeruginosa PAO1","15599408","PA4213","NP_252902.1","phenazine biosynthesis protein PhzD","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128578","b0595","NP_415127.1","isochorismatase","57945","Pseudomonas aeruginosa PAO1","15597099","PA1902","NP_250593.1","phenazine biosynthesis protein PhzD","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131972","b4147","NP_418571.1","elongation factor EF-P","57945","Pseudomonas aeruginosa PAO1","15598047","PA2851","NP_251541.1","elongation factor P","","","","Non-SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128170","b0177","NP_414719.1","outer membrane protein assembly factor, forms pores; required for OM biogenesis; in BamABCD OM protein complex","57945","Pseudomonas aeruginosa PAO1","15598844","PA3648","NP_252338.1","outer membrane protein Opr86","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131745","b3905","NP_418341.1","DNA-binding transcriptional activator for rhaBAD and rhaT, L-rhamnose-binding","57945","Pseudomonas aeruginosa PAO1","15596090","PA0893","NP_249584.1","transcriptional regulator ArgR","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131745","b3905","NP_418341.1","DNA-binding transcriptional activator for rhaBAD and rhaT, L-rhamnose-binding","57945","Pseudomonas aeruginosa PAO1","15597047","PA1850","NP_250541.1","transcriptional regulator","4","","PA0893[transcriptional regulator ArgR];PA4436[transcriptional regulator];PA5380[GbdR];PA5389[CdhR family transcriptional regulator]",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131745","b3905","NP_418341.1","DNA-binding transcriptional activator for rhaBAD and rhaT, L-rhamnose-binding","57945","Pseudomonas aeruginosa PAO1","15599632","PA4436","NP_253126.1","transcriptional regulator","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131745","b3905","NP_418341.1","DNA-binding transcriptional activator for rhaBAD and rhaT, L-rhamnose-binding","57945","Pseudomonas aeruginosa PAO1","15600573","PA5380","NP_254067.1","GbdR","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131745","b3905","NP_418341.1","DNA-binding transcriptional activator for rhaBAD and rhaT, L-rhamnose-binding","57945","Pseudomonas aeruginosa PAO1","15600582","PA5389","NP_254076.1","CdhR family transcriptional regulator","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","90111549","b3159","NP_417628.2","predicted protease","57945","Pseudomonas aeruginosa PAO1","15599107","PA3912","NP_252601.1","hypothetical protein","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131468","b3597","NP_418054.1","predicted protein","57945","Pseudomonas aeruginosa PAO1","15598556","PA3360","NP_252050.1","secretion protein","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131457","b3586","NP_418043.1","membrane fusion protein (MFP) component of efflux pump, signal anchor","57945","Pseudomonas aeruginosa PAO1","15598556","PA3360","NP_252050.1","secretion protein","1","b3597[predicted protein]","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131520","b3649","NP_418106.1","RNA polymerase, omega subunit","57945","Pseudomonas aeruginosa PAO1","15600530","PA5337","NP_254024.1","DNA-directed RNA polymerase subunit omega","","","","Non-SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16129926","b1982","NP_416489.1","AMP nucleosidase","57945","Pseudomonas aeruginosa PAO1","15599165","PA3970","NP_252659.1","AMP nucleosidase","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128830","b0862","NP_415383.1","arginine transporter subunit","57945","Pseudomonas aeruginosa PAO1","15600347","PA5154","NP_253841.1","ABC transporter permease","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131047","b3155","NP_417624.1","conserved protein, GIY-YIG nuclease superfamily","57945","Pseudomonas aeruginosa PAO1","15599049","PA3854","NP_252543.1","GIY-YIG nuclease superfamily protein","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128560","b0577","NP_415109.1","mechanosensitive channel protein, miniconductance","57945","Pseudomonas aeruginosa PAO1","15598664","PA3468","NP_252158.1","hypothetical protein","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128325","b0340","NP_414874.1","cyanate aminohydrolase","57945","Pseudomonas aeruginosa PAO1","15597248","PA2052","NP_250742.1","cyanate hydratase","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16130066","b2128","NP_416632.1","predicted transporter subunit: membrane component of ABC superfamily","57945","Pseudomonas aeruginosa PAO1","15599085","PA3890","NP_252579.1","ABC transporter permease","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16129233","b1272","NP_415788.1","predicted inner membrane peptidase; multicopy suppressor of htrA(degP)","57945","Pseudomonas aeruginosa PAO1","15597029","PA1832","NP_250523.1","periplasmic protease","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","90111225","b1168","NP_415686.2","predicted cyclic-di-GMP phosphodiesterase","57945","Pseudomonas aeruginosa PAO1","15599020","PA3825","NP_252514.1","hypothetical protein","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128176","b0183","NP_414725.1","ribonuclease HII, degrades RNA of DNA-RNA hybrids","57945","Pseudomonas aeruginosa PAO1","15598838","PA3642","NP_252332.1","ribonuclease HII","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16130424","b2499","NP_416994.1","phosphoribosylaminoimidazole synthetase","57945","Pseudomonas aeruginosa PAO1","15596142","PA0945","NP_249636.1","phosphoribosylaminoimidazole synthetase","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","162135893","b0148","NP_414690.4","predicted ATP-dependent helicase","57945","Pseudomonas aeruginosa PAO1","15599156","PA3961","NP_252650.1","ATP-dependent helicase","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","49176421","b3823","YP_026264.1","threonine efflux pump","57945","Pseudomonas aeruginosa PAO1","15596817","PA1620","NP_250311.1","hypothetical protein","1","b0328[inner membrane protein, LysE transporter family; overproduction confers sensitivity to L-homoserine]","","Borderline-SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128313","b0328","NP_414862.1","inner membrane protein, LysE transporter family; overproduction confers sensitivity to L-homoserine","57945","Pseudomonas aeruginosa PAO1","15596817","PA1620","NP_250311.1","hypothetical protein","","","","Borderline-SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16129715","b1761","NP_416275.1","glutamate dehydrogenase, NADP-specific","57945","Pseudomonas aeruginosa PAO1","15599784","PA4588","NP_253278.1","glutamate dehydrogenase","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128949","b0983","NP_415503.1","lipoprotein required for formation of the O-antigen capsule, predicted exopolysaccharide export protein","57945","Pseudomonas aeruginosa PAO1","15597430","PA2234","NP_250924.1","PslD","1","b2062[lipoprotein required for capsular polysaccharide translocation through the outer membrane]","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16130002","b2062","NP_416566.1","lipoprotein required for capsular polysaccharide translocation through the outer membrane","57945","Pseudomonas aeruginosa PAO1","15597430","PA2234","NP_250924.1","PslD","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128439","b0454","NP_414988.1","binds and enhances nucleotide excision repair of O(6)-alkylguanine; degenerate cysteine methyltransferase homolog","57945","Pseudomonas aeruginosa PAO1","15599588","PA4392","NP_253082.1","hypothetical protein","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131337","b3465","NP_417922.1","16S rRNA m(2)G966 methyltransferase, SAM-dependent","57945","Pseudomonas aeruginosa PAO1","15595567","PA0370","NP_249061.1","hypothetical protein","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16129662","b1706","NP_416221.1","conserved protein, UPF0061 family","57945","Pseudomonas aeruginosa PAO1","15600216","PA5023","NP_253710.1","hypothetical protein","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16129218","b1257","NP_415773.1","predicted rubrerythrin/ferritin-like metal-binding protein","57945","Pseudomonas aeruginosa PAO1","15597380","PA2184","NP_250874.1","hypothetical protein","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","90111394","b2135","NP_416639.2","inner membrane protein, Yip1 family","57945","Pseudomonas aeruginosa PAO1","15596387","PA1190","NP_249881.1","hypothetical protein","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128290","b0305","NP_414839.1","predicted DNA-binding transcriptional regulator","57945","Pseudomonas aeruginosa PAO1","15595761","PA0564","NP_249255.1","transcriptional regulator","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16130976","b3081","NP_417552.1","2,4-dienoyl-CoA reductase, NADH and FMN-linked","57945","Pseudomonas aeruginosa PAO1","15598288","PA3092","NP_251782.1","2,4-dienoyl-CoA reductase FadH1","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128318","b0333","NP_414867.1","2-methylcitrate synthase","57945","Pseudomonas aeruginosa PAO1","15595992","PA0795","NP_249486.1","methylcitrate synthase","","","","Borderline-SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128027","b0033","NP_414574.1","carbamoyl-phosphate synthase large subunit","57945","Pseudomonas aeruginosa PAO1","15599950","PA4756","NP_253444.1","carbamoyl phosphate synthase large subunit","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128205","b0219","NP_414754.1","predicted C-N hydrolase family amidase, NAD(P)-binding","57945","Pseudomonas aeruginosa PAO1","15598992","PA3797","NP_252486.1","hypothetical protein","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16129611","b1653","NP_416170.1","predicted ATP-dependent helicase","57945","Pseudomonas aeruginosa PAO1","15598468","PA3272","NP_251962.1","ATP-dependent DNA helicase","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","162135919","b4044","NP_418468.3","DNA-damage-inducible SOS response protein","57945","Pseudomonas aeruginosa PAO1","15600014","PA4821","NP_253508.1","transporter","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","90111330","b1780","NP_416294.4","conserved protein","57945","Pseudomonas aeruginosa PAO1","15600615","PA5422","NP_254109.1","hypothetical protein","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","90111340","b1834","NP_416348.2","conserved protein","57945","Pseudomonas aeruginosa PAO1","15599884","PA4689","NP_253378.1","hypothetical protein","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16129143","b1180","NP_415698.1","predicted isomerase/hydrolase","57945","Pseudomonas aeruginosa PAO1","15595515","PA0318","NP_249009.1","hypothetical protein","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128177","b0184","NP_414726.1","DNA polymerase III alpha subunit","57945","Pseudomonas aeruginosa PAO1","15598836","PA3640","NP_252330.1","DNA polymerase III subunit alpha","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131197","b3318","NP_417777.1","50S ribosomal subunit protein L23","57945","Pseudomonas aeruginosa PAO1","15599457","PA4261","NP_252951.1","50S ribosomal protein L23","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128473","b0489","NP_415022.1","multicopy suppressor of ftsH htpX double mutant; membrane-anchored predicted protease with C-terminal cytoplasmic PHB domain","57945","Pseudomonas aeruginosa PAO1","15595649","PA0452","NP_249143.1","stomatin-like protein","","","","Non-SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","90111586","b3401","NP_417860.2","heat shock protein Hsp33","57945","Pseudomonas aeruginosa PAO1","15600386","PA5193","NP_253880.1","Hsp33-like chaperonin","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16130950","b3054","NP_417526.1","predicted adenylate cyclase","57945","Pseudomonas aeruginosa PAO1","15600402","PA5209","NP_253896.1","hypothetical protein","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16129987","b2047","NP_416551.1","predicted UDP-glucose lipid carrier transferase","57945","Pseudomonas aeruginosa PAO1","15597427","PA2231","NP_250921.1","PslA","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16129054","b1091","NP_415609.1","3-oxoacyl-[acyl-carrier-protein] synthase III","57945","Pseudomonas aeruginosa PAO1","15596196","PA0999","NP_249690.1","3-oxoacyl-(acyl carrier protein) synthase III","","","","Non-SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131244","b3365","NP_417824.1","nitrite reductase, large subunit, NAD(P)H-binding","57945","Pseudomonas aeruginosa PAO1","15596978","PA1781","NP_250472.1","assimilatory nitrite reductase large subunit","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128637","b0654","NP_415187.1","glutamate and aspartate transporter subunit","57945","Pseudomonas aeruginosa PAO1","15596538","PA1341","NP_250032.1","amino acid ABC transporter membrane protein","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16130530","b2609","NP_417100.1","30S ribosomal subunit protein S16","57945","Pseudomonas aeruginosa PAO1","15598940","PA3745","NP_252434.1","30S ribosomal protein S16","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16129422","b1463","NP_415980.1","N-hydroxyarylamine O-acetyltransferase","57945","Pseudomonas aeruginosa PAO1","15600020","PA4827","NP_253514.1","arylamine N-acetyltransferase","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","90111528","b3035","NP_417507.2","transport channel","57945","Pseudomonas aeruginosa PAO1","15600167","PA4974","NP_253661.1","outer membrane protein precursor","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131122","b3232","NP_417699.1","conserved protein with nucleoside triphosphate hydrolase domain","57945","Pseudomonas aeruginosa PAO1","15599634","PA4438","NP_253128.1","hypothetical protein","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131727","b3887","NP_418323.1","D-tyr-tRNA(Tyr) deacylase","57945","Pseudomonas aeruginosa PAO1","15600272","PA5079","NP_253766.1","D-tyrosyl-tRNA(Tyr) deacylase","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16130137","b2200","NP_416704.1","heme exporter subunit","57945","Pseudomonas aeruginosa PAO1","15596673","PA1476","NP_250167.1","heme exporter protein CcmB","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16129634","b1678","NP_416193.1","murein L,D-transpeptidase","57945","Pseudomonas aeruginosa PAO1","15598050","PA2854","NP_251544.1","hypothetical protein","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16129931","b1990","NP_416494.1","L,D-transpeptidase linking Lpp to murein","57945","Pseudomonas aeruginosa PAO1","15598050","PA2854","NP_251544.1","hypothetical protein","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16129076","b1113","NP_415631.1","L,D-transpeptidase linking Lpp to murein","57945","Pseudomonas aeruginosa PAO1","15598050","PA2854","NP_251544.1","hypothetical protein","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128787","b0819","NP_415340.1","L,D-transpeptidase linking Lpp to murein","57945","Pseudomonas aeruginosa PAO1","15598050","PA2854","NP_251544.1","hypothetical protein","3","b1678[murein L,D-transpeptidase];b1990[L,D-transpeptidase linking Lpp to murein];b1113[L,D-transpeptidase linking Lpp to murein]","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","49176410","b3787","YP_026254.1","UDP-N-acetyl-D-mannosaminuronic acid dehydrogenase","57945","Pseudomonas aeruginosa PAO1","15598355","PA3159","NP_251849.1","UDP-N-acetyl-d-glucosamine 6-dehydrogenase","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128687","b0712","NP_415240.1","predicted enzyme subunit","57945","Pseudomonas aeruginosa PAO1","15595693","PA0496","NP_249187.1","hypothetical protein","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","49176407","b3778","YP_026251.1","DNA helicase and single-stranded DNA-dependent ATPase","57945","Pseudomonas aeruginosa PAO1","15600489","PA5296","NP_253983.1","ATP-dependent DNA helicase Rep","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131619","b3751","NP_418207.1","D-ribose transporter subunit","57945","Pseudomonas aeruginosa PAO1","15597142","PA1946","NP_250636.1","binding protein component precursor of ABC ribose transporter","2","b4227[galactofuranose binding proteint: periplasmic-binding component of ABC superfamily];b4088[D-allose transporter subunit]","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16132049","b4227","NP_418648.1","galactofuranose binding proteint: periplasmic-binding component of ABC superfamily","57945","Pseudomonas aeruginosa PAO1","15597142","PA1946","NP_250636.1","binding protein component precursor of ABC ribose transporter","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131914","b4088","NP_418512.1","D-allose transporter subunit","57945","Pseudomonas aeruginosa PAO1","15597142","PA1946","NP_250636.1","binding protein component precursor of ABC ribose transporter","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128766","b0798","NP_415319.1","conserved protein, DUF1768 family","57945","Pseudomonas aeruginosa PAO1","15599776","PA4580","NP_253270.1","hypothetical protein","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","90111310","b1642","NP_416159.2","DNA-binding transcriptional activator","57945","Pseudomonas aeruginosa PAO1","15598537","PA3341","NP_252031.1","transcriptional regulator","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16132004","b4182","NP_418603.1","conserved protein, PspA/IM30 family","57945","Pseudomonas aeruginosa PAO1","15598926","PA3731","NP_252420.1","hypothetical protein","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128471","b0487","NP_415020.1","DNA-binding transcriptional activator of copper-responsive regulon genes","57945","Pseudomonas aeruginosa PAO1","15599972","PA4778","NP_253466.1","CueR","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128902","b0935","NP_415455.1","alkanesulfonate monooxygenase, FMNH(2)-dependent","57945","Pseudomonas aeruginosa PAO1","15598640","PA3444","NP_252134.1","alkanesulfonate monooxygenase","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128720","b0752","NP_415273.1","zinc efflux system","57945","Pseudomonas aeruginosa PAO1","15595594","PA0397","NP_249088.1","cation efflux system protein","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16129701","b1747","NP_416261.1","arginine succinyltransferase","57945","Pseudomonas aeruginosa PAO1","15596094","PA0897","NP_249588.1","arginine/ornithine succinyltransferase AII subunit","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16130516","b2595","NP_417086.1","lipoprotein required for OM biogenesis, in BamABCD complex","57945","Pseudomonas aeruginosa PAO1","15599741","PA4545","NP_253235.1","competence protein ComL","","","","SSD"
