"Strain","Locus Tag","Accession","Product","Number of Amino Acids","Subcellular Localization","Confidence","Localization Group (Primary/Secondary)"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1297","NP_249988.1","probable metal transporter","327","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1298","NP_249989.1","conserved hypothetical protein","92","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1299","NP_249990.1","conserved hypothetical protein","150","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1300","NP_249991.1","ECF sigma factor","176","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1301","NP_249992.1","probable transmembrane sensor","328","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1302","NP_249993.1","probable heme utilization protein precursor","852","Outer Membrane","Class 2","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1302","NP_249993.1","probable heme utilization protein precursor","852","Outer Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1303","NP_249994.1","signal peptidase","180","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1303","NP_249994.1","signal peptidase","180","Cytoplasmic Membrane","Class 1","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1304","NP_249995.1","probable oligopeptidase","684","Periplasmic","Class 2","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1304","NP_249995.1","probable oligopeptidase","684","Unknown (This protein may have multiple localization sites)","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1304","NP_249995.1","probable oligopeptidase","684","Unknown (This protein may have multiple localization sites)","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1305","NP_249996.1","hypothetical protein","158","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1306","NP_249997.1","probable HIT family protein","154","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1307","NP_249998.1","conserved hypothetical protein","258","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1308","NP_249999.1","hypothetical protein","175","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1309","NP_250000.1","probable transcriptional regulator","287","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1310","NP_250001.1","2-aminoethylphosphonate:pyruvate aminotransferase","372","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1311","NP_250002.1","2-phosphonoacetaldehyde hydrolase","276","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1312","NP_250003.1","probable transcriptional regulator","304","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1313","NP_250004.1","probable major facilitator superfamily (MFS) transporter","453","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1314","NP_250005.1","hypothetical protein","129","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1315","NP_250006.1","probable transcriptional regulator","205","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1316","NP_250007.1","probable major facilitator superfamily (MFS) transporter","514","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1317","NP_250008.1","cytochrome o ubiquinol oxidase subunit II","332","Cytoplasmic Membrane","Class 2","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1317","NP_250008.1","cytochrome o ubiquinol oxidase subunit II","332","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1318","NP_250009.1","cytochrome o ubiquinol oxidase subunit I","659","Cytoplasmic Membrane","Class 2","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1318","NP_250009.1","cytochrome o ubiquinol oxidase subunit I","659","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1319","NP_250010.1","cytochrome o ubiquinol oxidase subunit III","210","Cytoplasmic Membrane","Class 2","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1319","NP_250010.1","cytochrome o ubiquinol oxidase subunit III","210","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1320","NP_250011.1","cytochrome o ubiquinol oxidase subunit IV","112","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1321","NP_250012.1","cytochrome o ubiquinol oxidase protein CyoE","297","Cytoplasmic Membrane","Class 2","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1321","NP_250012.1","cytochrome o ubiquinol oxidase protein CyoE","297","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1322","NP_250013.1","probable TonB-dependent receptor","733","Outer Membrane","Class 2","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1322","NP_250013.1","probable TonB-dependent receptor","733","Outer Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1323","NP_250014.1","hypothetical protein","111","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1324","NP_250015.1","hypothetical protein","171","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1325","NP_250016.1","conserved hypothetical protein","136","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1326","NP_250017.1","threonine dehydratase, biosynthetic","516","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1327","NP_250018.1","probable protease","657","Extracellular","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1328","NP_250019.1","probable transcriptional regulator","303","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1329","NP_250020.1","conserved hypothetical protein","144","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1330","NP_250021.1","probable short-chain dehydrogenase","260","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1331","NP_250022.1","conserved hypothetical protein","516","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1332","NP_250023.1","hypothetical protein","184","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1333","NP_250024.1","hypothetical protein","69","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1334","NP_250025.1","probable oxidoreductase","371","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1335","NP_250026.1","AauR","426","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1336","NP_250027.1","AauS","634","Cytoplasmic Membrane","Class 2","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1336","NP_250027.1","AauS","634","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1337","NP_250028.1","glutaminase-asparaginase","363","Periplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1338","NP_250029.1","gamma-glutamyltranspeptidase precursor","558","Periplasmic","Class 2","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1338","NP_250029.1","gamma-glutamyltranspeptidase precursor","558","Periplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1339","NP_250030.1","AatP","245","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1340","NP_250031.1","AatM","223","Cytoplasmic Membrane","Class 2","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1340","NP_250031.1","AatM","223","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1341","NP_250032.1","AatQ","249","Cytoplasmic Membrane","Class 2","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1341","NP_250032.1","AatQ","249","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1342","NP_250033.1","AatJ","303","Periplasmic","Class 2","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1342","NP_250033.1","AatJ","303","Periplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1342","NP_250033.1","AatJ","303","Extracellular","Class 1","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1343","NP_250034.1","hypothetical protein","153","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1344","NP_250035.1","probable short-chain dehydrogenase","265","Cytoplasmic","Class 2","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1344","NP_250035.1","probable short-chain dehydrogenase","265","Unknown (This protein may have multiple localization sites)","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1344","NP_250035.1","probable short-chain dehydrogenase","265","Unknown (This protein may have multiple localization sites)","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1345","NP_250036.1","hypothetical protein","530","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1346","NP_250037.1","hypothetical protein","516","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1347","NP_250038.1","probable transcriptional regulator","231","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1348","NP_250039.1","hypothetical protein","236","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1349","NP_250040.1","conserved hypothetical protein","117","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1350","NP_250041.1","hypothetical protein","250","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1351","NP_250042.1","probable sigma-70 factor, ECF subfamily","408","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1352","NP_250043.1","conserved hypothetical protein","404","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1353","NP_250044.1","hypothetical protein","138","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1354","NP_250045.1","hypothetical protein","142","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1355","NP_250046.1","hypothetical protein","127","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1356","NP_250047.1","hypothetical protein","369","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1357","NP_250048.1","conserved hypothetical protein","159","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1358","NP_250049.1","hypothetical protein","133","Cytoplasmic","Class 1","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1358","NP_250049.1","hypothetical protein","133","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1359","NP_250050.1","probable transcriptional regulator","219","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1360","NP_250051.1","conserved hypothetical protein","298","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1361","NP_250052.1","NorM","478","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1362","NP_250053.1","hypothetical protein","108","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1363","NP_250054.1","ECF sigma factor","247","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1364","NP_250055.1","probable transmembrane sensor","281","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1365","NP_250056.1","probable siderophore receptor","814","Outer Membrane","Class 2","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1365","NP_250056.1","probable siderophore receptor","814","Outer Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1366","NP_250057.1","hypothetical protein","257","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1367","NP_250058.1","hypothetical protein","279","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1368","NP_250059.1","hypothetical protein","475","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1369","NP_250060.1","hypothetical protein","251","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1370","NP_250061.1","hypothetical protein","622","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1371","NP_250062.1","hypothetical protein","234","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1372","NP_250063.1","hypothetical protein","712","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1373","NP_250064.1","3-oxoacyl-acyl carrier protein synthase II","423","Cytoplasmic","Class 2","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1373","NP_250064.1","3-oxoacyl-acyl carrier protein synthase II","423","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1374","NP_250065.1","hypothetical protein","169","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1375","NP_250066.1","erythronate-4-phosphate dehydrogenase","381","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1376","NP_250067.1","isocitrate dehydrogenase kinase/phosphatase","578","Cytoplasmic","Class 2","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1376","NP_250067.1","isocitrate dehydrogenase kinase/phosphatase","578","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1377","NP_250068.1","conserved hypothetical protein","178","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1378","NP_250069.1","hypothetical protein","121","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1379","NP_250070.1","probable short-chain dehydrogenase","278","Unknown (This protein may have multiple localization sites)","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1379","NP_250070.1","probable short-chain dehydrogenase","278","Unknown (This protein may have multiple localization sites)","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1380","NP_250071.1","probable transcriptional regulator","322","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1381","NP_250072.1","hypothetical protein","164","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1382","NP_250073.1","probable type II secretion system protein","760","Outer Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1383","NP_250074.1","hypothetical protein","602","Extracellular","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1384","NP_250075.1","UDP-glucose 4-epimerase","338","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1385","NP_250076.1","probable glycosyl transferase","375","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1386","NP_250077.1","probable ATP-binding component of ABC transporter","423","Cytoplasmic Membrane","Class 2","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1386","NP_250077.1","probable ATP-binding component of ABC transporter","423","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1387","NP_250078.1","hypothetical protein","519","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1388","NP_250079.1","hypothetical protein","243","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1389","NP_250080.1","probable glycosyl transferase","495","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1390","NP_250081.1","probable glycosyl transferase","345","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1391","NP_250082.1","probable glycosyl transferase","592","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1392","NP_250083.1","hypothetical protein","415","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1393","NP_250084.1","adenosine 5'-phosphosulfate (APS) kinase","197","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1394","NP_250085.1","hypothetical protein","85","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1395","NP_250086.1","hypothetical protein","139","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1396","NP_250087.1","probable two-component sensor","541","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1397","NP_250088.1","probable two-component response regulator","211","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1398","NP_250089.1","hypothetical protein","114","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1399","NP_250090.1","probable transcriptional regulator","307","Cytoplasmic","Class 2","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1399","NP_250090.1","probable transcriptional regulator","307","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1400","NP_250091.1","probable pyruvate carboxylase","1096","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1401","NP_250092.1","hypothetical protein","136","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1402","NP_250093.1","hypothetical protein","222","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1402","NP_250093.1","hypothetical protein","222","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1403","NP_250094.1","probable transcriptional regulator","211","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1404","NP_250095.1","hypothetical protein","76","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1405","NP_250096.1","probable helicase","531","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1406","NP_250097.1","hypothetical protein","253","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1407","NP_250098.1","hypothetical protein","314","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1408","NP_250099.1","hypothetical protein","808","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1409","NP_250100.1","acetylpolyamine aminohydrolase","347","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1410","NP_250101.1","probable periplasmic spermidine/putrescine-binding protein","364","Periplasmic","Class 2","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1410","NP_250101.1","probable periplasmic spermidine/putrescine-binding protein","364","Periplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1411","NP_250102.1","hypothetical protein","304","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1412","NP_250103.1","hypothetical protein","398","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1413","NP_250104.1","probable transcriptional regulator","291","Cytoplasmic","Class 2","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1413","NP_250104.1","probable transcriptional regulator","291","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1414","NP_250105.1","hypothetical protein","78","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1415","NP_250106.1","hypothetical protein","243","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1416","NP_250107.1","conserved hypothetical protein","461","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1417","NP_250108.1","probable decarboxylase","534","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1418","NP_250109.1","probable sodium:solute symport protein","464","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1419","NP_250110.1","probable transporter","504","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1420","NP_250111.1","hypothetical protein","140","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1421","NP_250112.1","guanidinobutyrase","320","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1422","NP_250113.1","GbuR","298","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1423","NP_250114.1","BdlA","418","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1424","NP_250115.1","hypothetical protein","204","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1425","NP_250116.1","probable ATP-binding component of ABC transporter","539","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1426","NP_250117","hypothetical protein","119","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1427","NP_250118","hypothetical protein","188","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1428","NP_250119.1","conserved hypothetical protein","144","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1429","NP_250120.1","probable cation-transporting P-type ATPase","903","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1430","NP_250121.1","transcriptional regulator LasR","240","Cytoplasmic","Class 1","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1430","NP_250121.1","transcriptional regulator LasR","240","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1431","NP_250122.1","regulatory protein RsaL","81","Cytoplasmic","Class 1","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1431","NP_250122.1","regulatory protein RsaL","81","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1432","NP_250123.1","autoinducer synthesis protein LasI","202","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1433","NP_250124.1","conserved hypothetical protein","651","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1434","NP_250125.1","hypothetical protein","238","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1435","NP_250126.1","probable Resistance-Nodulation-Cell Division (RND) efflux membrane fusion protein precursor","386","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1436","NP_250127.1","probable Resistance-Nodulation-Cell Division (RND) efflux transporter","1037","Cytoplasmic Membrane","Class 2","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1436","NP_250127.1","probable Resistance-Nodulation-Cell Division (RND) efflux transporter","1037","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1437","NP_250128.1","probable two-component response regulator","230","Cytoplasmic","Class 2","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1437","NP_250128.1","probable two-component response regulator","230","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1438","NP_250129.1","probable two-component sensor","482","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1439","NP_250130.1","conserved hypothetical protein","136","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1440","NP_250131.1","hypothetical protein","196","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1441","NP_250132.1","putative flagellar hook-length control protein FliK","428","Periplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1441","NP_250132.1","putative flagellar hook-length control protein FliK","428","Unknown","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1442","NP_250133.1","conserved hypothetical protein","174","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1443","NP_250134.1","flagellar motor switch protein FliM","324","Flagellar","Class 3","Secondary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1443","NP_250134.1","flagellar motor switch protein FliM","324","Cytoplasmic","Class 2","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1443","NP_250134.1","flagellar motor switch protein FliM","324","Cytoplasmic","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1444","NP_250135.1","flagellar motor switch protein FliN","158","Cytoplasmic","Class 2","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1444","NP_250135.1","flagellar motor switch protein FliN","158","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1445","NP_250136.1","flagellar protein FliO","151","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1446","NP_250137.1","flagellar biosynthetic protein FliP","256","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1446","NP_250137.1","flagellar biosynthetic protein FliP","256","Flagellar","Class 3","Secondary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1447","NP_250138.1","flagellar biosynthetic protein FliQ","90","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1447","NP_250138.1","flagellar biosynthetic protein FliQ","90","Flagellar","Class 3","Secondary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1448","NP_250139.1","flagellar biosynthetic protein FliR","259","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1448","NP_250139.1","flagellar biosynthetic protein FliR","259","Flagellar","Class 3","Secondary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1449","NP_250140.1","flagellar biosynthetic protein FlhB","379","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1449","NP_250140.1","flagellar biosynthetic protein FlhB","379","Flagellar","Class 3","Secondary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1450","NP_250141.1","conserved hypothetical protein","420","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1451","NP_250142.1","conserved hypothetical protein","448","Cytoplasmic Membrane","Class 3","Primary"
"Pseudomonas aeruginosa PAO1 (Reference)","PA1452","NP_250143.1","flagellar biosynthesis protein FlhA","708","Cytoplasmic Membrane","Class 2","Primary"
